Progress,Duration (in seconds),Finished,UserLanguage,consent,Trolley1 ,TTrolley1_First Click,TTrolley1_Last Click,TTrolley1_Page Submit,TTrolley1_Click Count,Q204,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,Q206,Q207_First Click,Q207_Last Click,Q207_Page Submit,Q207_Click Count,Q208,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,TrolleySelfSacrifice,TTrolleySelfSacr_First Click,TTrolleySelfSacr_Last Click,TTrolleySelfSacr_Page Submit,TTrolleySelfSacr_Click Count,TrolleyFatMan,TTrolleyFatMan_First Click,TTrolleyFatMan_Last Click,TTrolleyFatMan_Page Submit,TTrolleyFatMan_Click Count,TrolleySelfOrOther,TTrolleySelfOrOther_First Click,TTrolleySelfOrOther_Last Click,TTrolleySelfOrOther_Page Submit,TTrolleySelfOrOther_Click Count,SurDem,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,ReasonSurDem,SurDemAut,Q178_First Click,Q178_Last Click,Q178_Page Submit,Q178_Click Count,ReasonSurDemAut,SurGen,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,ReasonSurGen,SurDemAutFuture,Q180_First Click,Q180_Last Click,Q180_Page Submit,Q180_Click Count,ReasonSurDemAutFutur,TimeVPS_First Click,TimeVPS_Last Click,TimeVPS_Page Submit,TimeVPS_Click Count,VirtualPublicSearch,TimeVSSur_First Click,TimeVSSur_Last Click,TimeVSSur_Page Submit,TimeVSSur_Click Count,VirtualSecretSurv,TimeVSS_First Click,TimeVSS_Last Click,TimeVSS_Page Submit,TimeVSS_Click Count,VirtualSecretSearch,TimePSSur_First Click,TimePSSur_Last Click,TimePSSur_Page Submit,TimePSSur_Click Count,PhysicalSecretSur ,TimePSS_First Click,TimePSS_Last Click,TimePSS_Page Submit,TimePSS_Click Count,PhysicalSecretSearch,TimePPS_First Click,TimePPS_Last Click,TimePPS_Page Submit,TimePPS_Click Count,PyhicalPublicSearch,TimingPrivacyComp_First Click,TimingPrivacyComp_Last Click,TimingPrivacyComp_Page Submit,TimingPrivacyComp_Click Count,PrivacyComparison_1,PrivacyComparison_2,PrivacyComparison_3,TimingFreeTextCompt_First Click,TimingFreeTextCompt_Last Click,TimingFreeTextCompt_Page Submit,TimingFreeTextCompt_Click Count,FreeTextComp,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6_4_TEXT,Q11_First Click,Q11_Last Click,Q11_Page Submit,Q11_Click Count,Q130_1,Q130_2,feedback,mobile
Progress,Duration (in seconds),Finished,User Language,I confirm that I would like to participate in the study and agree to the terms of participation.,"Please imagine the following situation: A trolley has lost control and is about to run over and kill five people. By pulling a lever, you can divert the trolley to another track and save the five people. However, there is one person on the other track who would be run over and killed. Would you pull the lever?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Please imagine the following situation: A trolley has lost control and is threatening to run over and kill five people. By pulling a lever, you can divert the trolley to another track and save the five people. However, there are ten people on the other track who would be run over and killed. However, there is a 50% chance that the trolley will derail when diverted, and nobody will be run over. Would you pull the lever?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Please imagine the following situation: A trolley has lost control and is threatening to run over and kill five people. By pulling a lever, you can divert the trolley to another track and save the five people. However, there are ten people on the other track who would be run over and killed. However, there is a 10% chance that the trolley will derail when diverted, and nobody will be run over. Would you pull the lever?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Please imagine the following situation: A trolley has lost control and is threatening to run over and kill five people. By pulling a lever, you can divert the trolley to another track and save the five people. However, there are ten people on the other track who would be run over and killed. However, there is a 90% chance that the trolley will derail when diverted, and nobody will be run over. Would you pull the lever?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Please imagine the following situation: A trolley has lost control and is threatening to run over and kill five people. By pulling a lever, you can divert the trolley to another track and save the five people. However, you are on the other track and would be run over and killed. Would you pull the lever?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Please imagine the following situation: A trolley has lost control and is threatening to run over and kill five people. On a bridge, there is a large person. By pushing this person off the bridge, you can stop the trolley and save the five people. However, the large person would be run over and killed. Would you push the large person off the bridge?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Here's the translation of your German text into English, integrating the scenario details:



""Please imagine the following situation: A trolley has lost control and is threatening to run over and kill five people. By pulling a lever, you can divert the trolley either to a track with another person or to a track where you are standing. In both cases, the five people would be saved, but either the other person or you would be run over and killed. Would you pull the lever?""",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Please imagine the following situation: A surveillance software could be built into all smartphones in a democratic country. With this software, perpetrators who create or distribute child abuse material would be caught, and children would be protected. However, activists who are a thorn in the side of the state would also be surveilled and would face negative consequences. Would you support this surveillance software being built in?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,Please briefly explain your decision,"Please imagine the following situation: A surveillance software could be built into all smartphones in both a democratic and an autocratic country. With this software, perpetrators who create or distribute child abuse material would be caught, and children would be protected in both countries. However, in the autocratic country, activists who are a thorn in the side of the state would also be surveilled and would face negative consequences. Would you support this surveillance software being built in?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,Please briefly explain your decision,"Please imagine the following situation: A surveillance software could be built into all digital devices. With this software, all digital crimes would be solved, but there would be no digital privacy anymore. Would you support this surveillance software being built in?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,Please briefly explain your decision,"Please imagine the following situation: Surveillance software could be built into all smartphones in a democratic country. This software would catch perpetrators who create or distribute child abuse material, and protect children. However, there is a risk that the country could become autocratic in the future, and the surveillance software would be used to surveil activists who are a thorn in the side of the state. The activists would face negative consequences. Would you support this surveillance software being built in?",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,Please briefly explain your decision,Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Should the state have the right, with a court order and in the presence of the owner, to perform a search on smartphones or computers? Technical barriers such as passwords and security mechanisms are allowed to be overcome in the process.",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Should the state have the right, with a court order, to secretly surveill smartphones or computers over a long term? Technical barriers such as passwords and security mechanisms are allowed to be overcome, and surveillance software can be installed.",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Should the state have the right, with a court order, to secretly perform a search on smartphones or computers? Technical barriers such as passwords and security mechanisms are allowed to be overcome in the process.",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Should the state have the right, with a court order, to secretly surveill a residence over a long term? Barriers such as doors and windows are allowed to be overcome, and surveillance equipment can be installed.",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Should the state have the right, with a court order, to secretly search a residence? Barriers such as doors and windows are allowed to be overcome in the process.",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"Should the state have the right, with a court order and in the presence of the residents, to search a residence? In case of absence or refusal, barriers such as doors and windows are allowed to be overcome.",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,Please compare the perceived intrusion into privacy. - Search of a smartphone or computer in the presence of the user:Search of a residence in the presence of the resident,Please compare the perceived intrusion into privacy. - Secret long-term surveillance of a smartphone or computer:Secret long-term surveillance of a residence,Please compare the perceived intrusion into privacy. - Secret search of a smartphone or computer:Secret search of a residence,Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,"What do you think are the essential differences between the surveillance/search of smartphones and computers compared to residencies/living spaces?""",Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,What is your gender? - I want to self describe - Text,Timing – Erster Klick,Timing – Letzter Klick,Timing – Seite absenden,Timing – Auf Anzahl klicken,Please rate the following statements - I understood all questions,Please rate the following statements - I answered all questions truthfully,"Thank you for taking part in our survey.



We appreciate your feedback. If you found any questions unclear or would like to provide further information about any of the topics, you can do so here:""",mobile
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID162""}","{""ImportId"":""QID201_FIRST_CLICK""}","{""ImportId"":""QID201_LAST_CLICK""}","{""ImportId"":""QID201_PAGE_SUBMIT""}","{""ImportId"":""QID201_CLICK_COUNT""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205_FIRST_CLICK""}","{""ImportId"":""QID205_LAST_CLICK""}","{""ImportId"":""QID205_PAGE_SUBMIT""}","{""ImportId"":""QID205_CLICK_COUNT""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207_FIRST_CLICK""}","{""ImportId"":""QID207_LAST_CLICK""}","{""ImportId"":""QID207_PAGE_SUBMIT""}","{""ImportId"":""QID207_CLICK_COUNT""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209_FIRST_CLICK""}","{""ImportId"":""QID209_LAST_CLICK""}","{""ImportId"":""QID209_PAGE_SUBMIT""}","{""ImportId"":""QID209_CLICK_COUNT""}","{""ImportId"":""QID170""}","{""ImportId"":""QID198_FIRST_CLICK""}","{""ImportId"":""QID198_LAST_CLICK""}","{""ImportId"":""QID198_PAGE_SUBMIT""}","{""ImportId"":""QID198_CLICK_COUNT""}","{""ImportId"":""QID163""}","{""ImportId"":""QID199_FIRST_CLICK""}","{""ImportId"":""QID199_LAST_CLICK""}","{""ImportId"":""QID199_PAGE_SUBMIT""}","{""ImportId"":""QID199_CLICK_COUNT""}","{""ImportId"":""QID164""}","{""ImportId"":""QID200_FIRST_CLICK""}","{""ImportId"":""QID200_LAST_CLICK""}","{""ImportId"":""QID200_PAGE_SUBMIT""}","{""ImportId"":""QID200_CLICK_COUNT""}","{""ImportId"":""QID171""}","{""ImportId"":""QID193_FIRST_CLICK""}","{""ImportId"":""QID193_LAST_CLICK""}","{""ImportId"":""QID193_PAGE_SUBMIT""}","{""ImportId"":""QID193_CLICK_COUNT""}","{""ImportId"":""QID177_TEXT""}","{""ImportId"":""QID179""}","{""ImportId"":""QID194_FIRST_CLICK""}","{""ImportId"":""QID194_LAST_CLICK""}","{""ImportId"":""QID194_PAGE_SUBMIT""}","{""ImportId"":""QID194_CLICK_COUNT""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID203""}","{""ImportId"":""QID195_FIRST_CLICK""}","{""ImportId"":""QID195_LAST_CLICK""}","{""ImportId"":""QID195_PAGE_SUBMIT""}","{""ImportId"":""QID195_CLICK_COUNT""}","{""ImportId"":""QID187_TEXT""}","{""ImportId"":""QID191""}","{""ImportId"":""QID196_FIRST_CLICK""}","{""ImportId"":""QID196_LAST_CLICK""}","{""ImportId"":""QID196_PAGE_SUBMIT""}","{""ImportId"":""QID196_CLICK_COUNT""}","{""ImportId"":""QID192_TEXT""}","{""ImportId"":""QID134_FIRST_CLICK""}","{""ImportId"":""QID134_LAST_CLICK""}","{""ImportId"":""QID134_PAGE_SUBMIT""}","{""ImportId"":""QID134_CLICK_COUNT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID167_FIRST_CLICK""}","{""ImportId"":""QID167_LAST_CLICK""}","{""ImportId"":""QID167_PAGE_SUBMIT""}","{""ImportId"":""QID167_CLICK_COUNT""}","{""ImportId"":""QID168""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID165_FIRST_CLICK""}","{""ImportId"":""QID165_LAST_CLICK""}","{""ImportId"":""QID165_PAGE_SUBMIT""}","{""ImportId"":""QID165_CLICK_COUNT""}","{""ImportId"":""QID166""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID74_2""}","{""ImportId"":""QID74_3""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID77_FIRST_CLICK""}","{""ImportId"":""QID77_LAST_CLICK""}","{""ImportId"":""QID77_PAGE_SUBMIT""}","{""ImportId"":""QID77_CLICK_COUNT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID146_2""}","{""ImportId"":""QID146_3""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""mobile""}"
100,17,True,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,41,True,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,906,True,DE,I consent,Yes,25.226,25.226,25.99,1,No,13.228,14.288,15.669,3,No,7.009,7.842,8.325,2,Yes,21.061,23.278,23.875,2,No,12.089,12.089,12.917,1,Yes,19.221,19.221,19.963,1,"Yes, onto the track with the other person",34.196,35.068,36.008,2,No,16.585,21.065,21.683,2,,No,22.912,26.072,26.837,2,,Yes,8.919,8.919,9.617,1,Hab mich verklickt wollte nein wählen!,No,13.078,13.918,15.386,2,,9.492,22.017,22.029,2,No,5.659,9.534,9.569,2,No,9.78,9.78,10.368,1,No,7.868,7.868,8.473,1,No,6.545,6.545,7.064,1,No,9.435,14.633,17.523,2,Yes,26.949,41.453,42.777,5,3,3,3,9.203,10.051,25.614,2,Keine Unterschiede,3.092,52.195,54.858,12,,5.773,5.773,6.734,1,Agree completely,Agree completely,Ja und nein Tasten sollte nicht die Position wechseln,no
100,660,True,EN,I consent,Yes,9.387,9.987,10.005,2,Yes,12.033,12.033,12.573,1,No,49.928,49.928,50.869,1,Yes,2.001,2.001,3.356,1,Yes,9.864,10.446,10.465,2,Yes,26.433,26.433,27.006,1,"Yes, onto the track with myself",41.305,42.555,44.363,2,No,14.277,15.052,15.072,2,See previous answer,No,23.048,23.048,23.645,1,"I don't like any privacy-invasive software.
No matter who claims to control it.
Governments can change.",No,8.537,8.537,9.26,1,Everybody has a right to privacy,No,18.865,18.865,19.572,1,See previous answer,6.497,6.497,7.678,1,Yes,7.12,7.653,8.518,2,No,5.032,5.032,6.221,1,No,21.182,21.182,23.78,1,No,6.565,6.565,7.21,1,No,7.376,7.376,8.343,1,No,2.373,24.399,25.23,4,3,3,3,12.454,12.454,68.49,1,Residence surveillance can breach the privacy of crime unrelated roommates as well.,14.244,67.74,73.301,10,,13.708,13.708,14.398,1,Agree completely,Agree completely,,no
100,698,True,EN,I consent,Yes,50.924,50.924,51.813,1,Yes,22.646,22.646,23.57,1,Yes,25.658,25.658,26.732,1,Yes,21.635,21.635,22.36,1,No,24.116,24.116,25.1,1,No,38.267,38.267,43.893,1,No,35.995,35.995,41.919,1,No,29.379,29.379,30.171,1,,No,43.532,43.532,44.141,1,,No,13.152,13.152,13.841,1,Crime will always find a way how not to cought,No,31.347,31.347,32.147,1,,15.109,15.109,16.463,1,Yes,11.003,11.003,11.323,1,No,17.661,17.661,17.978,1,No,8.187,8.187,8.641,1,No,5.952,5.952,6.388,1,Yes,6.858,6.858,7.229,1,Yes,13.594,61.04,62.067,20,3,5,5,14.057,14.057,14.066,1,,6.337,64.499,78.349,21,,2.187,5.322,6.076,2,Agree completely,Agree completely,,yes
100,716,True,EN,I consent,Yes,43.153,53.6,54.357,2,Yes,9.795,9.795,10.201,1,Yes,33.9,33.9,34.7,1,Yes,8.897,8.897,9.489,1,Yes,9.3,9.3,9.996,1,No,11.3,14.4,15.139,3,"Yes, onto the track with myself",19.9,19.9,21.064,1,No,13.17,13.347,13.904,2,,No,33.032,33.032,33.546,1,Same reason as before. Surveillance without complete consent should be a crime. ,No,7.3,7.3,8.344,1,Digital privacy is a necessity. It's not even something that can be argued upon and has two sides of the story. Just because a software can fix all digital crimes does not mean that ending digital privacy will not give birth to more crimes. ,No,28.801,28.801,29.546,1,"There should exist other solutions to track and catch abusers. Not everything is as plain and simple as it seems and no government has the right to spy on a person, even if it's a potential ""abuser"". ",18.201,18.201,18.6,1,Yes,5.301,5.301,6.7,1,No,2.9,3.5,4.162,2,No,9.101,9.101,9.554,1,No,4.702,4.702,6.293,1,Yes,3.1,3.1,3.522,1,Yes,32.322,48.076,51.215,7,3,3,3,13.265,13.265,13.282,1,,3.178,45.44,46.095,16,,4.4,4.4,5.056,1,Agree completely,Agree completely,,yes
100,765,True,DE,I consent,Yes,6.26,14.419,15.623,2,No,20.372,20.372,21.528,1,No,15.024,15.024,16.585,1,Yes,12.439,12.439,13.611,1,No,15.185,15.185,16.386,1,No,1.358,28.437,30.349,2,"Yes, onto the track with the other person",41.073,41.073,42.483,1,No,16.925,16.925,18.282,1,"Still, es gilt nicht mehr dem greater good, sondern dem wohlergehen von wenigen",No,17.163,17.163,18.43,1,"Kein greater good, ein paar wenige ziehen Vorteile aus der Situation",Yes,18.302,18.302,19.611,1,"(Unter Voraussetzung, dass sonst nichts mit den Daten gemacht wird)
Alle werden gleich behandelt, greater good",No,22.228,22.228,23.624,1,Jetzt können / werden auch andere Dinge mit den Daten angestellt,9.038,9.038,33.971,1,Yes,12.23,12.23,14.018,1,Yes,6.401,6.401,7.775,1,Yes,13.287,13.287,14.597,1,Yes,6.966,18.918,20.182,3,Yes,10.276,10.276,12.458,1,Yes,11.16,19.226,20.712,4,3,3,3,2.139,2.139,34.376,1,Ist für mich das Selbe,1.281,28.008,29.82,6,,14.869,14.869,16.237,1,Agree completely,Agree completely,,no
100,719,True,EN,I consent,Yes,11.716,11.716,13.022,1,No,17.779,19.147,20.236,2,No,16.68,16.68,17.822,1,Yes,15.525,15.525,16.675,1,No,10.91,10.91,12.161,1,No,19.149,21.414,23.18,2,No,3.221,42.131,43.145,2,No,14.023,14.023,16.145,1,Activists should not face discrimination if they are not doing anythin illigal.,No,2.424,19.816,21.019,2,Everything that benifits autoracies harms civilians.,No,10.288,10.681,15.061,2,I don´t think all cyber crimes should be solved. ,No,12.731,15.301,16.501,2,Everything that benifits autocracies harms civilains. Any country can become autocratic.,8.722,8.722,9.883,1,Yes,7.848,7.848,9.134,1,No,21.49,21.49,23.02,1,No,1.53,15.387,16.875,3,No,9.828,9.828,11.564,1,No,12.255,12.255,13.375,1,Yes,8.39,72.023,76.363,6,4,4,4,12.329,31.442,31.444,5,,5.092,30.124,31.338,12,,10.522,11.288,12.37,2,Agree completely,Agree completely,,no
